season,week,game_type,team,gsis_id,player_name,position,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified,severity_score,games_missed,created_at
2023,1,REG,GB,00-0037816,Romeo Doubs,WR,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,HOU,00-0037823,Christian Harris,LB,,,,Shoulder,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,HOU,00-0035276,Blake Cashman,LB,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2023-09-08,3,0,2025-10-05T19:30:59.527153
2023,1,REG,HOU,00-0037614,John Metchie,WR,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2023-09-08,3,0,2025-10-05T19:30:59.527153
2023,1,REG,HOU,00-0031298,Jimmie Ward,S,Hip,,Out,Hip,,Did Not Participate In Practice,2023-09-08,3,0,2025-10-05T19:30:59.527153
2023,1,REG,HOU,00-0033854,Dare Ogunbowale,RB,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,IND,00-0039156,Julius Brents,CB,,,,Not injury related - personal matter,,Did Not Participate In Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,IND,00-0034846,Shaquille Leonard,LB,,,,Concussion,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,IND,00-0032378,DeForest Buckner,DT,,,,Forearm,,Limited Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,IND,00-0036251,Zack Moss,RB,Forearm,,Questionable,Forearm,,Limited Participation in Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,JAX,00-0038596,Antonio Johnson,S,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2023-09-08,3,0,2025-10-05T19:30:59.527153
2023,1,REG,JAX,00-0038940,Tyler Lacy,DE,Hip,,Out,Hip,,Limited Participation in Practice,2023-09-08,3,0,2025-10-05T19:30:59.527153
2023,1,REG,KC,00-0035149,Nick Allegretti,G,,,,Pectoral,,Full Participation in Practice,2023-09-06,0,0,2025-10-05T19:30:59.527153
2023,1,REG,KC,00-0034286,Richie James,WR,,,,Knee,,Full Participation in Practice,2023-09-06,0,0,2025-10-05T19:30:59.527153
2023,1,REG,KC,00-0038986,Nic Jones,CB,,,,Hand,,Full Participation in Practice,2023-09-06,0,0,2025-10-05T19:30:59.527153
2023,1,REG,KC,00-0036374,L'Jarius Sneed,CB,,,,Knee,,Full Participation in Practice,2023-09-06,0,0,2025-10-05T19:30:59.527153
2023,1,REG,KC,00-0038983,B.J. Thompson,DE,,,,Hamstring,,Full Participation in Practice,2023-09-06,0,0,2025-10-05T19:30:59.527153
2023,1,REG,KC,00-0036913,Kadarius Toney,WR,,,,Knee,,Full Participation in Practice,2023-09-06,0,0,2025-10-05T19:30:59.527153
2023,1,REG,KC,00-0035890,Tershawn Wharton,DT,,,,Knee,,Full Participation in Practice,2023-09-06,0,0,2025-10-05T19:30:59.527153
2023,1,REG,KC,00-0030506,Travis Kelce,TE,Knee,,Questionable,Knee,,Did Not Participate In Practice,2023-09-06,1,0,2025-10-05T19:30:59.527153
2023,1,REG,LA,00-0034804,Brian Allen,C,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,LA,00-0036415,Van Jefferson,WR,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,LA,00-0039107,Stetson Bennett,QB,right Shoulder,,Questionable,right Shoulder,,Did Not Participate In Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,LA,00-0033908,Cooper Kupp,WR,Hamstring,,Questionable,Hamstring,,Did Not Participate In Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,LA,00-0037004,Hunter Long,TE,Thigh,,Questionable,Thigh,,Did Not Participate In Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,LAC,00-0038553,Daiyan Henley,LB,Hamstring,,Doubtful,Hamstring,,Did Not Participate In Practice,2023-09-08,2,0,2025-10-05T19:30:59.527153
2023,1,REG,LAC,00-0036867,Chris Rumph,LB,Hamstring,,Doubtful,Hamstring,,Did Not Participate In Practice,2023-09-08,2,0,2025-10-05T19:30:59.527153
2023,1,REG,LV,00-0034545,Brandon Facyson,CB,Shin,,Out,Shin,,Did Not Participate In Practice,2023-09-08,3,0,2025-10-05T19:30:59.527153
2023,1,REG,LV,00-0029585,Chandler Jones,DE,Not injury related - personal matter,,Out,Not injury related - personal matter,,Did Not Participate In Practice,2023-09-08,3,0,2025-10-05T19:30:59.527153
2023,1,REG,LV,00-0031763,DeAndre Carter,WR,Knee,,Questionable,Knee,,Limited Participation in Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,MIA,00-0039040,Devon Achane,RB,,,,Shoulder,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,MIA,00-0036020,Salvon Ahmed,RB,,,,Back,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,MIA,00-0036213,Raekwon Davis,DT,,,,Elbow,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,MIA,00-0037010,Liam Eichenberg,T,,,,Ribs,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,MIA,00-0036221,Brandon Jones,S,,,,Knee,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,MIA,00-0036613,Jaylen Waddle,WR,,,,Oblique,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,MIA,00-0034352,Connor Williams,C,,,,Knee,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,MIA,00-0030067,Terron Armstead,T,Back,"ankle, knee",Out,Back,Ankle / Knee,Did Not Participate In Practice,2023-09-08,3,0,2025-10-05T19:30:59.527153
2023,1,REG,MIA,00-0034248,Elijah Campbell,S,Knee,,Out,Knee,,Did Not Participate In Practice,2023-09-08,3,0,2025-10-05T19:30:59.527153
2023,1,REG,MIA,00-0029530,Justin Bethel,CB,Knee,,Questionable,Knee,,Limited Participation in Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,MIA,00-0038720,Julian Hill,TE,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,MIN,00-0036338,Troy Dye,LB,,,,Elbow,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,MIN,00-0037500,Ryan Wright,P,,,,Ankle,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,MIN,00-0034344,Marcus Davenport,DE,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,NE,00-0032071,Trenton Brown,T,,,,Illness,,Limited Participation in Practice,2023-09-06,0,0,2025-10-05T19:30:59.527153
2023,1,REG,NE,00-0038039,Jack Jones,CB,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2023-09-08,3,0,2025-10-05T19:30:59.527153
2023,1,REG,NE,00-0038132,Matt Corral,QB,Not injury related - personal matter,,Questionable,Not Injury Related,,Did Not Participate In Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,7,REG,PHI,00-0038487,Eli Ricks,CB,,,,Knee,,Full Participation in Practice,2023-10-20,0,0,2025-10-05T19:30:59.749493
2023,1,REG,NE,00-0036875,Rhamondre Stevenson,RB,Illness,,Questionable,Illness,,Did Not Participate In Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,NE,00-0036198,Michael Onwenu,G,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,NE,00-0031547,DeVante Parker,WR,Knee,,Questionable,Knee,,Limited Participation in Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,NE,00-0038103,Cole Strange,G,Knee,,Questionable,Knee,,Limited Participation in Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,NO,00-0027696,Jimmy Graham,TE,,,,Not injury related - resting player,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,NO,00-0033874,Marshon Lattimore,CB,,,,Knee,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,NO,00-0033888,Ryan Ramczyk,T,,,,Not injury related - resting player,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,NO,00-0034116,J.T. Gray,S,Shoulder,,Out,Shoulder,,Did Not Participate In Practice,2023-09-08,3,0,2025-10-05T19:30:59.527153
2023,1,REG,NO,00-0034765,Tre'Quan Smith,WR,Groin,,Out,Groin,,Did Not Participate In Practice,2023-09-08,3,0,2025-10-05T19:30:59.527153
2023,1,REG,NO,00-0038551,Kendre Miller,RB,Hamstring,,Questionable,Hamstring,,Did Not Participate In Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,NYG,00-0036569,Gary Brightwell,RB,,,,Knee,,Limited Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,NYG,00-0036145,Lawrence Cager,TE,,,,Ankle,,Limited Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,NYG,00-0037758,Cordale Flott,CB,Hamstring,,Doubtful,Hamstring,,Limited Participation in Practice,2023-09-08,2,0,2025-10-05T19:30:59.527153
2023,1,REG,NYG,00-0038413,Gervarrius Owens,S,Hamstring,,Doubtful,Hamstring,,Limited Participation in Practice,2023-09-08,2,0,2025-10-05T19:30:59.527153
2023,1,REG,NYG,00-0038117,Wan'Dale Robinson,WR,Knee,,Doubtful,Knee,,Limited Participation in Practice,2023-09-08,2,0,2025-10-05T19:30:59.527153
2023,1,REG,NYG,00-0036400,Cam Brown,LB,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,NYG,00-0037260,D.J. Davidson,DT,Knee,,Questionable,Knee,,Limited Participation in Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,NYG,00-0031610,Darren Waller,TE,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,NYJ,00-0036501,Michael Carter,CB,,,,Elbow,,Full Participation in Practice,2023-09-09,0,0,2025-10-05T19:30:59.527153
2023,1,REG,NYJ,00-0036284,Mekhi Becton,T,Knee,Illness,Questionable,Knee,Illness,Full Participation in Practice,2023-09-09,1,0,2025-10-05T19:30:59.527153
2023,1,REG,NYJ,00-0026166,Duane Brown,T,Shoulder,,Questionable,Shoulder,,Full Participation in Practice,2023-09-09,1,0,2025-10-05T19:30:59.527153
2023,1,REG,NYJ,00-0038120,Breece Hall,RB,Knee,,Questionable,Knee,,Full Participation in Practice,2023-09-09,1,0,2025-10-05T19:30:59.527153
2023,1,REG,PHI,00-0037136,Mario Goodrich,CB,,,,Illness,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,PHI,00-0037137,Josh Jobe,CB,,,,Illness,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,PIT,00-0027969,Cameron Heyward,DT,,,,Not injury related - resting player,Stomach,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,PIT,00-0033905,Larry Ogunjobi,DT,Foot,,Questionable,Foot,,Limited Participation in Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,SEA,00-0036409,Jordyn Brooks,LB,,,,Not injury related - resting player,Knee,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,SEA,00-0039047,Derick Hall,LB,,,,Shoulder,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,SEA,00-0038133,Boye Mafe,LB,,,,Illness,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,SEA,00-0038591,Mike Morris,DE,,,,Shoulder,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,SEA,00-0032387,Jarran Reed,DT,,,,Toe,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,SEA,00-0038543,Jaxon Smith-Njigba,WR,,,,Wrist,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,SEA,00-0036413,Darrell Taylor,LB,,,,Shoulder,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,SEA,00-0035164,Cody Thompson,WR,,,,Shoulder,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,SEA,00-0038134,Kenneth Walker,RB,,,,Groin,,Limited Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,SEA,00-0033872,Jamal Adams,S,Knee,,Out,Knee,,Did Not Participate In Practice,2023-09-08,3,0,2025-10-05T19:30:59.527153
2023,1,REG,SEA,00-0038636,Kenny McIntosh,RB,Knee,Hamstring,Out,Knee,Hamstring,Did Not Participate In Practice,2023-09-08,3,0,2025-10-05T19:30:59.527153
2023,1,REG,SEA,00-0036417,Damien Lewis,G,Shoulder,,Questionable,Shoulder,,Full Participation in Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,SEA,00-0039169,Devon Witherspoon,CB,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,SF,00-0035717,Nick Bosa,DE,,,,Not injury related - resting player,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,SF,00-0034754,Oren Burks,LB,,,,Knee,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,SF,00-0032151,Jon Feliciano,C,,,,Illness,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,SF,00-0028924,Tashaun Gipson,S,,,,Back,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,SF,00-0036564,Talanoa Hufanga,S,,,,Knee,Not injury related - personal ,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,SF,00-0037525,Jordan Mason,RB,,,,Foot,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,SF,00-0034407,Ray-Ray McCloud,WR,,,,Wrist,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,SF,00-0038562,Jake Moody,K,,,,right Quadricep,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,SF,00-0034091,George Odum,S,,,,Shoulder,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,SF,00-0037834,Brock Purdy,QB,,,,right Elbow,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,SF,00-0027857,Trent Williams,T,,,,Not injury related - resting player,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,SF,00-0033288,George Kittle,TE,Groin,,Questionable,Groin,,Limited Participation in Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,SF,00-0034573,Charvarius Ward,CB,Heel,,Questionable,Heel,,Limited Participation in Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,TB,00-0038823,Kaevon Merriweather,S,,,,Quadricep,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,TB,00-0035254,Anthony Nelson,LB,,,,Hamstring,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,TB,00-0036450,Ke'Shawn Vaughn,RB,,,,Not injury related - personal matter,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,TB,00-0036411,Antoine Winfield,S,,,,Calf,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,TB,00-0039157,Cody Mauch,G,Back,,Questionable,Back,,Did Not Participate In Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,TB,00-0039063,Calijah Kancey,DT,Calf,,Questionable,Calf,,Full Participation in Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,TEN,00-0037742,Treylon Burks,WR,,,,Knee,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,TEN,00-0030564,DeAndre Hopkins,WR,,,,Not injury related - resting player,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,TEN,00-0034825,Arden Key,LB,,,,Calf,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,TEN,00-0039152,Will Levis,QB,,,,Quadricep,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,TEN,00-0035259,Trevon Wesco,TE,,,,Not injury related - resting player,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,TEN,00-0037593,Tre Avery,CB,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2023-09-08,3,0,2025-10-05T19:30:59.527153
2023,1,REG,TEN,00-0034828,Harold Landry,LB,Abdomen,,Questionable,Abdomen,,Full Participation in Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,TEN,00-0036619,Dillon Radunz,T,Knee,,Questionable,Knee,,Full Participation in Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,WAS,00-0036671,Dax Milne,WR,,,,Groin,,Did Not Participate In Practice,2023-09-07,0,0,2025-10-05T19:30:59.527153
